TLE2, 18278, 15.865641
PDP1, 13704, 15.857433
DBC1, 4872, 15.832365
DSCC1, 5405, 15.821901
SLC25A44, 16793, 15.821023
UBE2D1, 19245, 15.810054
C6orf186, 2894, 15.801289
TTC39C, 19080, 15.794680
LOC100288939, 10191, 15.774434
GRHL2, 7554, 15.772929
ST3GAL6, 17545, 15.768791
NKAPL, 12430, 15.757409
UPP1, 19407, 15.749699
MAP3K13, 11154, 15.720774
TAS2R43, 17907, 15.719741
VAV3, 19537, 15.700989
ZSWIM4, 20721, 15.699926
STARD9, 17592, 15.698660
ZBTB1, 19967, 15.693793
RASSF4, 15143, 15.690554
IL28RA, 8549, 15.678271
STARD10, 17583, 15.676141
ALX3, 894, 15.659690
TGM1, 18165, 15.633133
MALAT1, 11109, 15.629849
TBC1D30, 17949, 15.621296
CAMK2G, 3174, 15.615858
ITM2A, 8786, 15.612501
RFX5, 15334, 15.589988
JAM2, 8818, 15.586482
KCNK12, 8933, 15.584779
CRHR2, 4451, 15.569518
ENTPD3, 5801, 15.561547
IER2, 8368, 15.559627
C1QTNF1, 2440, 15.549940
CNNM1, 4190, 15.543044
GRAMD1B, 7538, 15.536423
ZBTB40, 19988, 15.528109
FKBP7, 6620, 15.526437
CDS1, 3748, 15.509551
GLCCI1, 7209, 15.508623
TAS2R45, 17908, 15.502044
EYA3, 5998, 15.495781
LEPREL2, 9638, 15.472910
CPT1B, 4410, 15.470888
SFI1, 16446, 15.464707
DQX1, 5386, 15.449306
TTC39B, 19079, 15.439860
STRC, 17657, 15.435876
NEIL1, 12302, 15.433364
C2orf86, 2731, 15.429672
VSTM2A, 19637, 15.423493
PPP1R10, 14393, 15.406408
TSPAN9, 19027, 15.398059
CCDC57, 3403, 15.383859
BID, 1830, 15.371407
RHBDL3, 15386, 15.369482
FAM71E1, 6305, 15.369129
IFNE, 8408, 15.358896
SLC5A6, 16956, 15.349312
LRCH1, 10823, 15.347406
ZBTB38, 19985, 15.340993
RGPD1, 15352, 15.336950
TIFA, 18231, 15.328981
TSC22D1, 18978, 15.318392
ABCA6, 45, 15.311740
ASAP1-IT1, 1398, 15.307433
PCP4L1, 13614, 15.302358
WHSC2, 19792, 15.292636
ZFAT, 20082, 15.281467
SRPK1, 17474, 15.270128
AFF1, 673, 15.268178
CACNA1A, 3109, 15.259411
FAM116A, 6080, 15.251155
REEP6, 15272, 15.242247
RASD2, 15122, 15.218905
PAXIP1, 13504, 15.217272
BCL3, 1772, 15.187814
B3GALNT2, 1644, 15.187793
KLC4, 9221, 15.185443
PHYH, 13887, 15.177065
MASP2, 11236, 15.176235
TMEM127, 18379, 15.167933
ZNF385B, 20330, 15.163723
SMEK1, 17085, 15.159853
