SubjID,L_V1,L_MST,L_V6,L_V2,L_V3,L_V4,L_V8,L_4,L_3b,L_FEF,L_PEF,L_55b,L_V3A,L_RSC,L_POS2,L_V7,L_IPS1,L_FFC,L_V3B,L_LO1,L_LO2,L_PIT,L_MT,L_A1,L_PSL,L_SFL,L_PCV,L_STV,L_7Pm,L_7m,L_POS1,L_23d,L_v23ab,L_d23ab,L_31pv,L_5m,L_5mv,L_23c,L_5L,L_24dd,L_24dv,L_7AL,L_SCEF,L_6ma,L_7Am,L_7PL,L_7PC,L_LIPv,L_VIP,L_MIP,L_1,L_2,L_3a,L_6d,L_6mp,L_6v,L_p24pr,L_33pr,L_a24pr,L_p32pr,L_a24,L_d32,L_8BM,L_p32,L_10r,L_47m,L_8Av,L_8Ad,L_9m,L_8BL,L_9p,L_10d,L_8C,L_44,L_45,L_47l,L_a47r,L_6r,L_IFJa,L_IFJp,L_IFSp,L_IFSa,L_p9-46v,L_46,L_a9-46v,L_9-46d,L_9a,L_10v,L_a10p,L_10pp,L_11l,L_13l,L_OFC,L_47s,L_LIPd,L_6a,L_i6-8,L_s6-8,L_43,L_OP4,L_OP1,L_OP2-3,L_52,L_RI,L_PFcm,L_PoI2,L_TA2,L_FOP4,L_MI,L_Pir,L_AVI,L_AAIC,L_FOP1,L_FOP3,L_FOP2,L_PFt,L_AIP,L_EC,L_PreS,L_H,L_ProS,L_PeEc,L_STGa,L_PBelt,L_A5,L_PHA1,L_PHA3,L_STSda,L_STSdp,L_STSvp,L_TGd,L_TE1a,L_TE1p,L_TE2a,L_TF,L_TE2p,L_PHT,L_PH,L_TPOJ1,L_TPOJ2,L_TPOJ3,L_DVT,L_PGp,L_IP2,L_IP1,L_IP0,L_PFop,L_PF,L_PFm,L_PGi,L_PGs,L_V6A,L_VMV1,L_VMV3,L_PHA2,L_V4t,L_FST,L_V3CD,L_LO3,L_VMV2,L_31pd,L_31a,L_VVC,L_25,L_s32,L_pOFC,L_PoI1,L_Ig,L_FOP5,L_p10p,L_p47r,L_TGv,L_MBelt,L_LBelt,L_A4,L_STSva,L_TE1m,L_PI,L_a32pr,L_p24,R_V1,R_MST,R_V6,R_V2,R_V3,R_V4,R_V8,R_4,R_3b,R_FEF,R_PEF,R_55b,R_V3A,R_RSC,R_POS2,R_V7,R_IPS1,R_FFC,R_V3B,R_LO1,R_LO2,R_PIT,R_MT,R_A1,R_PSL,R_SFL,R_PCV,R_STV,R_7Pm,R_7m,R_POS1,R_23d,R_v23ab,R_d23ab,R_31pv,R_5m,R_5mv,R_23c,R_5L,R_24dd,R_24dv,R_7AL,R_SCEF,R_6ma,R_7Am,R_7PL,R_7PC,R_LIPv,R_VIP,R_MIP,R_1,R_2,R_3a,R_6d,R_6mp,R_6v,R_p24pr,R_33pr,R_a24pr,R_p32pr,R_a24,R_d32,R_8BM,R_p32,R_10r,R_47m,R_8Av,R_8Ad,R_9m,R_8BL,R_9p,R_10d,R_8C,R_44,R_45,R_47l,R_a47r,R_6r,R_IFJa,R_IFJp,R_IFSp,R_IFSa,R_p9-46v,R_46,R_a9-46v,R_9-46d,R_9a,R_10v,R_a10p,R_10pp,R_11l,R_13l,R_OFC,R_47s,R_LIPd,R_6a,R_i6-8,R_s6-8,R_43,R_OP4,R_OP1,R_OP2-3,R_52,R_RI,R_PFcm,R_PoI2,R_TA2,R_FOP4,R_MI,R_Pir,R_AVI,R_AAIC,R_FOP1,R_FOP3,R_FOP2,R_PFt,R_AIP,R_EC,R_PreS,R_H,R_ProS,R_PeEc,R_STGa,R_PBelt,R_A5,R_PHA1,R_PHA3,R_STSda,R_STSdp,R_STSvp,R_TGd,R_TE1a,R_TE1p,R_TE2a,R_TF,R_TE2p,R_PHT,R_PH,R_TPOJ1,R_TPOJ2,R_TPOJ3,R_DVT,R_PGp,R_IP2,R_IP1,R_IP0,R_PFop,R_PF,R_PFm,R_PGi,R_PGs,R_V6A,R_VMV1,R_VMV3,R_PHA2,R_V4t,R_FST,R_V3CD,R_LO3,R_VMV2,R_31pd,R_31a,R_VVC,R_25,R_s32,R_pOFC,R_PoI1,R_Ig,R_FOP5,R_p10p,R_p47r,R_TGv,R_MBelt,R_LBelt,R_A4,R_STSva,R_TE1m,R_PI,R_a32pr,R_p24
sub-007,0.039,0.029,0.019,0.049,0.039,0.03,0.04,0.028,0.025,0.022,0.03,0.038,0.032,0.033,0.027,0.024,0.016,0.029,0.025,0.024,0.028,0.028,0.032,0.022,0.047,0.022,0.031,0.044,0.035,0.036,0.023,0.028,0.035,0.03,0.028,0.027,0.013,0.017,0.026,0.032,0.024,0.03,0.038,0.026,0.04,0.027,0.022,0.023,0.023,0.019,0.04,0.017,0.027,0.024,0.042,0.043,0.027,0.039,0.025,0.031,0.048,0.031,0.027,0.016,0.036,0.023,0.02,0.021,0.031,0.03,0.029,0.039,0.024,0.027,0.025,0.038,0.029,0.021,0.014,0.02,0.025,0.022,0.023,0.033,0.03,0.025,0.026,0.039,0.035,0.032,0.036,0.026,0.061,0.038,0.027,0.017,0.022,0.025,0.035,0.031,0.031,0.018,0.015,0.021,0.028,0.038,0.016,0.026,0.029,0.054,0.021,0.022,0.016,0.021,0.016,0.027,0.017,0.046,0.026,0.023,0.018,0.035,0.048,0.016,0.028,0.026,0.037,0.016,0.018,0.013,0.034,0.027,0.031,0.03,0.033,0.033,0.032,0.026,0.018,0.027,0.035,0.031,0.029,0.023,0.016,0.019,0.021,0.035,0.033,0.02,0.024,0.032,0.032,0.017,0.024,0.034,0.022,0.032,0.033,0.03,0.021,0.044,0.029,0.026,0.041,0.044,0.038,0.029,0.015,0.032,0.028,0.045,0.032,0.02,0.034,0.023,0.024,0.009,0.021,0.019,0.04,0.019,0.021,0.042,0.032,0.033,0.032,0.029,0.021,0.023,0.021,0.053,0.033,0.039,0.03,0.019,0.014,0.025,0.019,0.032,0.022,0.031,0.017,0.037,0,0,0.028,0.022,0.035,0.042,0.023,0.024,0.039,0.027,0.027,0.029,0.014,0.021,0,0.037,0.022,0,0.028,0.03,0.03,0,0.026,0.02,0.021,0.017,0.045,0.017,0.027,0.024,0.028,0.051,0.03,0.023,0.017,0.016,0.04,0.026,0.023,0.025,0.029,0.023,0.028,0.024,0.031,0,0.026,0.037,0.023,0.028,0.031,0,0.043,0.024,0.029,0.019,0.015,0.032,0.023,0.031,0.03,0.031,0.029,0.032,0.042,0.037,0,0,0.039,0.038,0.017,0.021,0.028,0.032,0.025,0.03,0.033,0.025,0.01,0.018,0.019,0.054,0.02,0.018,0.019,0.046,0.028,0.031,0.014,0.028,0.016,0.02,0.02,0.05,0.035,0.022,0.021,0.035,0.03,0.009,0.035,0.032,0.031,0.014,0.015,0.018,0.038,0.051,0.026,0.031,0.026,0.026,0.034,0.027,0.019,0.024,0.021,0.026,0.037,0.02,0.021,0.019,0.038,0.026,0.027,0.021,0.03,0.044,0.032,0.025,0.011,0.04,0.038,0.021,0.021,0.024,0.019,0.08,0.039,0.038,0.034,0.036,0.041,0.029,0.017,0.034,0.021,0.036,0.02,0.015,0.044,0.013,0.059,0.009,0.026,0.033,
sub-008,0.04,0.03,0.019,0.039,0.033,0.028,0.029,0.022,0.019,0.018,0.013,0.024,0.029,0.04,0.018,0.02,0.029,0.032,0.031,0.025,0.025,0.028,0.029,0.03,0.033,0.031,0.03,0.022,0.037,0.028,0.03,0.038,0.046,0.04,0.033,0.03,0.01,0.02,0.024,0.03,0.022,0.022,0.023,0.02,0.024,0.027,0.022,0.016,0.02,0.018,0.032,0.019,0.031,0.02,0.023,0.041,0.025,0.017,0.015,0.012,0.026,0.028,0.017,0.021,0.038,0.02,0.025,0.021,0.027,0.027,0.026,0.032,0.018,0.034,0.028,0.029,0.033,0.018,0.019,0.013,0.022,0.021,0.023,0.026,0.032,0.023,0.021,0.034,0.032,0.031,0.031,0.026,0.028,0.035,0.014,0.018,0.025,0.024,0.022,0.022,0.03,0.021,0.014,0.023,0.022,0.044,0.02,0.021,0.026,0.04,0.024,0.028,0.021,0.019,0.017,0.024,0.018,0.039,0.04,0.032,0.036,0.029,0.034,0.014,0.027,0.008,0.029,0.025,0.017,0.016,0.024,0.029,0.028,0.03,0.022,0.042,0.034,0.029,0.036,0.031,0.023,0.023,0.04,0.023,0.022,0.025,0.023,0.025,0.024,0.022,0.025,0.024,0.029,0.03,0.017,0.036,0.018,0.025,0.029,0.025,0.024,0.05,0.033,0.03,0.027,0.028,0.026,0.033,0.017,0.032,0.02,0.037,0.022,0.022,0.038,0.021,0.022,0.011,0.014,0.019,0.035,0.028,0.021,0.039,0.032,0.027,0.025,0.025,0.017,0.019,0.012,0.044,0.029,0.035,0.024,0.025,0.021,0.031,0.026,0.032,0.028,0.021,0.023,0.025,0,0,0.027,0.034,0.028,0.036,0.03,0.03,0.037,0.026,0.021,0.03,0.014,0.024,0,0.024,0.027,0,0.021,0.022,0.031,0,0.027,0.013,0.014,0.027,0.038,0.017,0.024,0.02,0.023,0.043,0.041,0.017,0.022,0.017,0.021,0.028,0.022,0.02,0.024,0.02,0.021,0.018,0.025,0,0.026,0.03,0.018,0.025,0.025,0,0.034,0.02,0.014,0.021,0.024,0.02,0.025,0.025,0.031,0.021,0.03,0.03,0.031,0.036,0,0,0.036,0.038,0.024,0.02,0.016,0.024,0.032,0.025,0.027,0.022,0.012,0.021,0.026,0.047,0.021,0.017,0.018,0.031,0.027,0.037,0.011,0.023,0.024,0.018,0.03,0.056,0.027,0.014,0.037,0.023,0.026,0.016,0.026,0.014,0.012,0.023,0.019,0.017,0.03,0.029,0.026,0.024,0.021,0.026,0.031,0.035,0.022,0.023,0.021,0.02,0.03,0.038,0.024,0.026,0.023,0.036,0.037,0.027,0.028,0.036,0.034,0.024,0.009,0.033,0.022,0.031,0.032,0.022,0.034,0.041,0.027,0.042,0.038,0.035,0.033,0.026,0.015,0.026,0.034,0.027,0.025,0.03,0.022,0.018,0.023,0.013,0.021,0.025,
sub-009,0.036,0.022,0.021,0.044,0.038,0.03,0.035,0.023,0.026,0.015,0.025,0.023,0.029,0.035,0.029,0.023,0.01,0.03,0.025,0.038,0.032,0.032,0.031,0.041,0.036,0.027,0.036,0.062,0.036,0.042,0.028,0.03,0.026,0.035,0.023,0.029,0.015,0.024,0.02,0.019,0.024,0.025,0.018,0.025,0.029,0.02,0.023,0.019,0.033,0.024,0.034,0.019,0.029,0.023,0.022,0.031,0.03,0.007,0.005,0.022,0.047,0.023,0.02,0.016,0.04,0.029,0.021,0.022,0.023,0.024,0.024,0.04,0.02,0.021,0.029,0.025,0.035,0.016,0.015,0.019,0.022,0.023,0.03,0.027,0.045,0.028,0.034,0.042,0.04,0.04,0.033,0.027,0.029,0.034,0.023,0.015,0.034,0.032,0.031,0.034,0.038,0.029,0.014,0.026,0.028,0.034,0.021,0.023,0.027,0.054,0.021,0.025,0.026,0.02,0.017,0.021,0.018,0.04,0.041,0.013,0.029,0.033,0.04,0.011,0.032,0.029,0.024,0.02,0.016,0.016,0.029,0.032,0.03,0.033,0.025,0.032,0.025,0.03,0.021,0.039,0.024,0.024,0.037,0.02,0.022,0.022,0.057,0.05,0.03,0.025,0.032,0.036,0.04,0.018,0.012,0.024,0.02,0.027,0.019,0.023,0.026,0.04,0.025,0.053,0.046,0.035,0.024,0.027,0.014,0.037,0.037,0.041,0.013,0.02,0.047,0.027,0.036,0.009,0.023,0.011,0.038,0.024,0.025,0.039,0.031,0.027,0.026,0.025,0.015,0.022,0.015,0.011,0.024,0.033,0.03,0.016,0.023,0.043,0.021,0.016,0.025,0.034,0.02,0.026,0,0,0.027,0.037,0.032,0.038,0.024,0.042,0.024,0.027,0.034,0.038,0.014,0.022,0,0.028,0.025,0,0.022,0.025,0.026,0,0.028,0.013,0.028,0.017,0.036,0.019,0.03,0.023,0.024,0.044,0.036,0.02,0.024,0.018,0.027,0.024,0.022,0.022,0.026,0.03,0.017,0.021,0.028,0,0.033,0.025,0.028,0.038,0.025,0,0.032,0.022,0.017,0.023,0.031,0.02,0.023,0.032,0.034,0.038,0.032,0.033,0.034,0.032,0,0,0.031,0.05,0.022,0.017,0.016,0.022,0.031,0.035,0.039,0.024,0.009,0.021,0.019,0.04,0.017,0.018,0.019,0.045,0.028,0.032,0.012,0.019,0.027,0.046,0.02,0.024,0.032,0.013,0.02,0.036,0.029,0.021,0.027,0.031,0.021,0.023,0.018,0.015,0.031,0.044,0.033,0.035,0.018,0.036,0.03,0.038,0.025,0.025,0.032,0.025,0.043,0.031,0.029,0.025,0.044,0.024,0.023,0.025,0.027,0.039,0.021,0.054,0.011,0.037,0.035,0.04,0.027,0.04,0.016,0.064,0.032,0.026,0.024,0.037,0.05,0.026,0.016,0.036,0.032,0.042,0.02,0.023,0.039,0.019,0.037,0.007,0.015,0.036,
sub-010,0.033,0.027,0.015,0.042,0.036,0.032,0.027,0.021,0.016,0.016,0.011,0.027,0.033,0.038,0.033,0.022,0.019,0.028,0.03,0.032,0.031,0.034,0.025,0.022,0.02,0.038,0.031,0.027,0.032,0.053,0.029,0.036,0.049,0.043,0.037,0.016,0.014,0.02,0.024,0.037,0.021,0.023,0.034,0.031,0.031,0.026,0.022,0.014,0.023,0.022,0.027,0.017,0.025,0.019,0.021,0.03,0.032,0.026,0.027,0.013,0.027,0.038,0.025,0.03,0.027,0.02,0.031,0.019,0.031,0.025,0.022,0.039,0.02,0.025,0.027,0.028,0.034,0.022,0.018,0.019,0.028,0.025,0.022,0.029,0.033,0.029,0.03,0.035,0.042,0.032,0.038,0.027,0.023,0.04,0.028,0.021,0.03,0.023,0.027,0.022,0.024,0.025,0.014,0.02,0.023,0.031,0.016,0.023,0.023,0.054,0.016,0.037,0.033,0.022,0.024,0.03,0.024,0.054,0.026,0.018,0.034,0.033,0.03,0.012,0.028,0.022,0.023,0.016,0.021,0.02,0.031,0.019,0.023,0.035,0.03,0.029,0.023,0.022,0.012,0.016,0.024,0.033,0.03,0.017,0.021,0.024,0.034,0.028,0.025,0.023,0.023,0.023,0.036,0.03,0.014,0.032,0.023,0.025,0.026,0.027,0.037,0.046,0.032,0.037,0.021,0.036,0.029,0.032,0.018,0.033,0.028,0.035,0.013,0.022,0.021,0.018,0.024,0.008,0.023,0.028,0.033,0.023,0.012,0.038,0.036,0.027,0.031,0.023,0.018,0.032,0.01,0.036,0.023,0.048,0.025,0.023,0.021,0.03,0.036,0.029,0.023,0.032,0.023,0.029,0,0,0.04,0.021,0.056,0.038,0.02,0.035,0.045,0.047,0.032,0.019,0.014,0.019,0,0.035,0.022,0,0.026,0.028,0.02,0,0.026,0.019,0.021,0.017,0.034,0.018,0.027,0.02,0.025,0.026,0.038,0.021,0.016,0.017,0.029,0.028,0.028,0.031,0.026,0.024,0.018,0.023,0.03,0,0.029,0.035,0.019,0.028,0.032,0,0.034,0.021,0.021,0.017,0.03,0.031,0.031,0.026,0.031,0.029,0.042,0.035,0.035,0.036,0,0,0.028,0.053,0.029,0.018,0.026,0.029,0.023,0.019,0.025,0.023,0.01,0.017,0.021,0.037,0.026,0.014,0.023,0.025,0.028,0.041,0.033,0.026,0.026,0.03,0.024,0.064,0.029,0.018,0.028,0.026,0.027,0.026,0.022,0.016,0.016,0.009,0.016,0.01,0.027,0.03,0.024,0.025,0.029,0.037,0.034,0.025,0.017,0.024,0.024,0.027,0.03,0.022,0.015,0.025,0.028,0.034,0.024,0.027,0.035,0.03,0.045,0.02,0.009,0.034,0.02,0.024,0.032,0.022,0.019,0.039,0.04,0.035,0.023,0.027,0.036,0.028,0.014,0.042,0.03,0.035,0.017,0.019,0.029,0.016,0.031,0.009,0.022,0.026,
sub-011,0.035,0.022,0.026,0.037,0.033,0.029,0.027,0.02,0.019,0.016,0.01,0.032,0.023,0.048,0.019,0.023,0.017,0.023,0.022,0.016,0.026,0.03,0.027,0.032,0.044,0.022,0.021,0.023,0.036,0.033,0.024,0.032,0.031,0.03,0.019,0.029,0.019,0.024,0.027,0.018,0.02,0.027,0.021,0.027,0.03,0.028,0.022,0.025,0.029,0.015,0.035,0.017,0.026,0.038,0.023,0.031,0.038,0.024,0.019,0.018,0.022,0.026,0.018,0.025,0.024,0.022,0.019,0.021,0.027,0.029,0.014,0.03,0.022,0.027,0.028,0.035,0.03,0.026,0.018,0.015,0.019,0.024,0.029,0.028,0.034,0.023,0.026,0.031,0.019,0.025,0.034,0.028,0.035,0.028,0.021,0.02,0.022,0.015,0.026,0.019,0.03,0.02,0.015,0.023,0.021,0.037,0.017,0.019,0.022,0.047,0.019,0.023,0.021,0.015,0.017,0.024,0.02,0.049,0.033,0.015,0.022,0.029,0.029,0.013,0.038,0.015,0.024,0.025,0.015,0.017,0.031,0.023,0.026,0.037,0.034,0.029,0.029,0.016,0.024,0.018,0.032,0.024,0.026,0.023,0.02,0.024,0.03,0.038,0.036,0.019,0.033,0.022,0.02,0.021,0.011,0.033,0.02,0.022,0.03,0.024,0.026,0.042,0.029,0.032,0.039,0.027,0.036,0.03,0.017,0.032,0.037,0.037,0.032,0.03,0.035,0.018,0.03,0.012,0.014,0.018,0.036,0.029,0.019,0.037,0.028,0.029,0.03,0.023,0.019,0.018,0.009,0.052,0.027,0.034,0.02,0.023,0.018,0.028,0.028,0.017,0.036,0.025,0.019,0.038,0,0,0.028,0.059,0.026,0.029,0.02,0.031,0.044,0.043,0.027,0.025,0.016,0.023,0,0.022,0.021,0,0.023,0.021,0.025,0,0.02,0.018,0.034,0.018,0.051,0.016,0.023,0.027,0.014,0.052,0.031,0.019,0.014,0.012,0.034,0.021,0.019,0.033,0.034,0.037,0.026,0.019,0.028,0,0.024,0.045,0.022,0.03,0.031,0,0.039,0.024,0.026,0.021,0.028,0.028,0.028,0.028,0.039,0.025,0.024,0.025,0.023,0.031,0,0,0.028,0.039,0.041,0.019,0.02,0.027,0.03,0.029,0.025,0.023,0.01,0.017,0.017,0.043,0.023,0.02,0.019,0.037,0.021,0.043,0.018,0.022,0.024,0.033,0.021,0.045,0.035,0.016,0.018,0.023,0.027,0.017,0.037,0.018,0.018,0.021,0.016,0.012,0.035,0.028,0.031,0.029,0.03,0.016,0.03,0.027,0.03,0.021,0.029,0.022,0.033,0.026,0.034,0.02,0.034,0.042,0.023,0.025,0.035,0.025,0.021,0.027,0.007,0.03,0.019,0.019,0.031,0.016,0.029,0.047,0.028,0.035,0.027,0.039,0.033,0.029,0.012,0.027,0.035,0.047,0.023,0.026,0.045,0.025,0.032,0.009,0.014,0.03,
sub-012,0.052,0.021,0.032,0.051,0.039,0.038,0.03,0.027,0.025,0.019,0.017,0.033,0.029,0.041,0.029,0.027,0.017,0.035,0.021,0.02,0.031,0.036,0.026,0.034,0.015,0.052,0.041,0.033,0.043,0.043,0.039,0.037,0.052,0.039,0.025,0.025,0.015,0.023,0.027,0.024,0.021,0.034,0.033,0.03,0.034,0.035,0.026,0.02,0.015,0.019,0.04,0.021,0.028,0.041,0.029,0.052,0.04,0.05,0.044,0.025,0.066,0.046,0.043,0.035,0.034,0.05,0.031,0.03,0.057,0.052,0.033,0.06,0.037,0.045,0.039,0.059,0.069,0.025,0.029,0.031,0.043,0.039,0.053,0.048,0.059,0.052,0.053,0.07,0.065,0.044,0.083,0.083,0.047,0.075,0.019,0.019,0.04,0.049,0.069,0.034,0.037,0.036,0.021,0.026,0.026,0.059,0.043,0.031,0.035,0.049,0.028,0.059,0.031,0.021,0.021,0.021,0.026,0.048,0.043,0.04,0.025,0.057,0.06,0.031,0.056,0.015,0.028,0.026,0.028,0.028,0.054,0.046,0.054,0.066,0.036,0.034,0.036,0.028,0.027,0.021,0.027,0.026,0.027,0.028,0.025,0.027,0.024,0.027,0.033,0.027,0.024,0.052,0.054,0.046,0.013,0.028,0.026,0.037,0.025,0.023,0.03,0.05,0.045,0.029,0.037,0.042,0.038,0.034,0.027,0.056,0.037,0.046,0.026,0.041,0.039,0.028,0.043,0.024,0.025,0.041,0.043,0.028,0.026,0.049,0.044,0.037,0.036,0.028,0.025,0.03,0.019,0.024,0.038,0.058,0.029,0.025,0.02,0.038,0.032,0.035,0.032,0.047,0.036,0.032,0,0,0.036,0.04,0.028,0.035,0.027,0.054,0.048,0.056,0.026,0.029,0.017,0.033,0,0.034,0.042,0,0.031,0.034,0.017,0,0.028,0.022,0.032,0.027,0.049,0.018,0.026,0.056,0.025,0.03,0.028,0.066,0.042,0.039,0.034,0.038,0.044,0.043,0.024,0.066,0.03,0.035,0.048,0,0.041,0.059,0.044,0.037,0.035,0,0.057,0.024,0.033,0.02,0.029,0.03,0.042,0.032,0.05,0.044,0.052,0.057,0.065,0.068,0,0,0.046,0.05,0.012,0.02,0.034,0.034,0.045,0.031,0.029,0.025,0.019,0.026,0.033,0.044,0.039,0.023,0.029,0.046,0.03,0.073,0.016,0.027,0.026,0.028,0.026,0.07,0.062,0.056,0.025,0.032,0.075,0.02,0.041,0.024,0.023,0.023,0.024,0.024,0.05,0.049,0.037,0.032,0.048,0.037,0.029,0.033,0.026,0.032,0.022,0.028,0.034,0.021,0.022,0.027,0.025,0.042,0.027,0.026,0.023,0.04,0.038,0.049,0.023,0.036,0.024,0.031,0.038,0.022,0.026,0.03,0.048,0.016,0.041,0.05,0.038,0.034,0.024,0.059,0.058,0.047,0.04,0.024,0.036,0.025,0.037,0.017,0.03,0.047,
sub-013,0.04,0.029,0.028,0.042,0.038,0.032,0.024,0.027,0.02,0.015,0.028,0.025,0.024,0.037,0.024,0.019,0.016,0.034,0.025,0.023,0.031,0.033,0.029,0.041,0.019,0.028,0.033,0.016,0.024,0.026,0.031,0.04,0.029,0.032,0.033,0.017,0.013,0.021,0.017,0.028,0.031,0.021,0.029,0.024,0.023,0.025,0.024,0.02,0.033,0.016,0.036,0.019,0.034,0.023,0.022,0.03,0.021,0.011,0.02,0.023,0.037,0.033,0.024,0.026,0.031,0.02,0.02,0.023,0.027,0.033,0.03,0.037,0.027,0.033,0.034,0.029,0.033,0.026,0.02,0.024,0.034,0.024,0.032,0.038,0.039,0.03,0.035,0.032,0.032,0.028,0.037,0.032,0.035,0.03,0.026,0.019,0.02,0.024,0.027,0.027,0.039,0.029,0.021,0.032,0.033,0.033,0.007,0.021,0.026,0.042,0.022,0.029,0.014,0.025,0.026,0.028,0.026,0.057,0.035,0.015,0.034,0.028,0.039,0.015,0.037,0.019,0.025,0.023,0.023,0.022,0.035,0.031,0.031,0.035,0.026,0.033,0.027,0.032,0.009,0.02,0.022,0.028,0.023,0.023,0.021,0.018,0.032,0.028,0.027,0.023,0.027,0.038,0.025,0.031,0.012,0.027,0.024,0.02,0.032,0.027,0.021,0.032,0.034,0.037,0.019,0.032,0.032,0.043,0.016,0.037,0.031,0.044,0.026,0.026,0.028,0.024,0.035,0.013,0.017,0.023,0.036,0.023,0.023,0.043,0.034,0.026,0.043,0.029,0.023,0.029,0.02,0.022,0.032,0.034,0.02,0.021,0.027,0.022,0.03,0.017,0.021,0.04,0.03,0.033,0,0,0.044,0.03,0.021,0.035,0.024,0.034,0.033,0.032,0.031,0.033,0.025,0.026,0,0.038,0.027,0,0.029,0.023,0.038,0,0.024,0.017,0.016,0.019,0.043,0.02,0.033,0.029,0.028,0.026,0.036,0.027,0.043,0.027,0.063,0.026,0.029,0.029,0.034,0.023,0.031,0.025,0.037,0,0.035,0.048,0.024,0.032,0.029,0,0.034,0.017,0.016,0.022,0.026,0.031,0.028,0.03,0.033,0.031,0.038,0.035,0.04,0.039,0,0,0.036,0.034,0.016,0.022,0.023,0.023,0.027,0.032,0.02,0.028,0.017,0.025,0.018,0.041,0.016,0.02,0.024,0.032,0.026,0.032,0.014,0.026,0.031,0.012,0.018,0.054,0.034,0.021,0.039,0.029,0.03,0.018,0.03,0.014,0.015,0.019,0.011,0.012,0.044,0.027,0.026,0.025,0.028,0.027,0.029,0.025,0.025,0.026,0.028,0.029,0.033,0.016,0.026,0.021,0.074,0.045,0.027,0.028,0.027,0.025,0.013,0.031,0.007,0.03,0.034,0.025,0.025,0.03,0.028,0.038,0.035,0.016,0.018,0.034,0.019,0.034,0.021,0.034,0.032,0.044,0.034,0.02,0.043,0.019,0.024,0.008,0.019,0.034,
sub-014,0.047,0.029,0.027,0.046,0.042,0.032,0.02,0.032,0.024,0.029,0.027,0.033,0.043,0.054,0.029,0.017,0.029,0.045,0.032,0.031,0.032,0.071,0.029,0.034,0.028,0.041,0.05,0.032,0.058,0.064,0.039,0.059,0.067,0.07,0.049,0.026,0.015,0.023,0.036,0.034,0.022,0.051,0.037,0.035,0.049,0.049,0.04,0.024,0.049,0.031,0.049,0.03,0.031,0.031,0.035,0.064,0.042,0.04,0.021,0.03,0.054,0.023,0.06,0.032,0.04,0.018,0.027,0.034,0.038,0.038,0.022,0.061,0.031,0.021,0.031,0.039,0.045,0.026,0.012,0.021,0.043,0.029,0.035,0.022,0.043,0.035,0.043,0.061,0.055,0.04,0.041,0.033,0.039,0.044,0.031,0.022,0.032,0.019,0.033,0.027,0.029,0.016,0.015,0.027,0.025,0.034,0.015,0.023,0.021,0.06,0.02,0.032,0.014,0.031,0.022,0.058,0.032,0.063,0.04,0.023,0.057,0.034,0.033,0.021,0.036,0.014,0.027,0.025,0.019,0.021,0.042,0.031,0.037,0.024,0.037,0.029,0.05,0.035,0.021,0.031,0.047,0.038,0.039,0.029,0.039,0.022,0.024,0.036,0.037,0.03,0.034,0.048,0.017,0.034,0.044,0.046,0.024,0.057,0.052,0.02,0.027,0.066,0.044,0.039,0.035,0.047,0.028,0.023,0.018,0.033,0.03,0.058,0.028,0.033,0.028,0.025,0.026,0.008,0.016,0.032,0.047,0.034,0.02,0.048,0.041,0.038,0.029,0.029,0.02,0.041,0.012,0.044,0.031,0.075,0.036,0.027,0.023,0.039,0.029,0.03,0.044,0.044,0.046,0.038,0,0,0.036,0.049,0.03,0.058,0.029,0.068,0.076,0.049,0.048,0.026,0.027,0.028,0,0.031,0.031,0,0.026,0.032,0.041,0,0.037,0.031,0.029,0.042,0.059,0.025,0.029,0.042,0.032,0.072,0.036,0.031,0.03,0.026,0.039,0.033,0.036,0.019,0.04,0.022,0.017,0.031,0.037,0,0.044,0.036,0.025,0.051,0.047,0,0.036,0.029,0.034,0.034,0.043,0.042,0.037,0.025,0.034,0.032,0.036,0.044,0.045,0.04,0,0,0.052,0.045,0.024,0.032,0.041,0.029,0.039,0.027,0.029,0.029,0.016,0.016,0.019,0.047,0.023,0.027,0.046,0.05,0.022,0.029,0.015,0.023,0.019,0.047,0.033,0.052,0.047,0.029,0.044,0.034,0.037,0.021,0.04,0.013,0.023,0.015,0.019,0.014,0.039,0.031,0.035,0.03,0.028,0.026,0.038,0.038,0.035,0.031,0.03,0.025,0.041,0.031,0.035,0.024,0.051,0.05,0.039,0.036,0.034,0.057,0.019,0.049,0.02,0.041,0.023,0.035,0.037,0.03,0.06,0.046,0.047,0.046,0.04,0.044,0.019,0.029,0.015,0.034,0.033,0.054,0.023,0.029,0.054,0.013,0.023,0.009,0.016,0.023,
